"Categ Exp Hierar";"1980";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"Homossexual";0;6;18;62;254;523;1016;1384;1730;2094;2507;2844;2795;2948;2919;3224;3354;3539;3056;3040;2925;3121;3078;2989;2987;3059;3447;3869;4272;4758;5312;5846;6149;5971;5786;5482;5534;5093;4305;1242;122538
"Bissexual";1;3;9;27;126;209;461;611;762;1068;1370;1670;1718;1862;1909;2002;2232;2195;1917;1801;1678;1738;1632;1728;1577;1453;1429;1456;1471;1543;1665;1608;1666;1516;1384;1270;1335;1178;1013;332;50625
"Heterossexual";0;3;7;13;35;121;319;643;1017;1439;2313;3401;4666;5632;7324;9199;11584;14019;13649;15051;15563;16691;17126;16874;16432;15682;15764;16847;16965;17388;17887;17799;17704;15797;13956;12486;11920;10676;9290;2654;385936
"UDI";0;3;2;13;44;114;489;978;1575;2618;3626;4204;4582;4385;4492;4651;4566;4488;3644;3419;2963;2759;2532;2122;1743;1597;1453;1336;1295;1162;1143;983;902;754;678;551;451;442;363;98;73220
"Hemofílico";0;0;1;8;23;45;82;107;99;116;104;76;73;68;68;82;79;44;26;21;26;17;15;12;12;15;10;13;6;8;6;7;5;4;9;2;4;7;2;3;1305
"Transfusão";0;0;0;0;6;21;72;115;113;155;198;225;248;220;277;269;156;31;14;16;22;13;17;43;28;26;16;9;11;8;8;8;5;5;5;3;2;6;3;0;2374
"Acid. Material Biológico";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;2;0;0;2;1;5;2;2;0;1;0;1;2;1;0;23
"Transmissão Vertical";0;0;0;0;2;2;33;73;109;155;232;306;353;519;646;850;956;962;924;864;887;844;852;695;696;592;602;651;588;595;563;585;530;497;424;410;366;297;250;66;17976
"Ignorado";0;2;5;11;44;85;231;437;603;1005;1167;1511;1978;2394;3176;3392;3027;3560;3284;12271;10876;14215;12933;13891;14755;15217;15991;17044;16582;15312;16183;15642;16405;17591;18752;19221;18922;20339;22081;7485;357620
"Total";1;17;42;134;534;1120;2703;4348;6008;8650;11517;14237;16413;18028;20811;23670;25954;28838;26514;36483;34942;39398;38185;38355;38230;37643;38712;41225;41192;40775;42772;42480;43368;42135;40995;39425;38535;38040;37308;11880;1011617
